,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
var_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
var_2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
var_3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
var_4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
var_5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
var_6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
var_7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
var_8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
var_9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
var_10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
var_11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
var_12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
var_13,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
var_14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
var_15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
